snapped_at,volume
2025-06-28 10:30:00 +0000,1524683982.03396135867584953815837432
2025-06-29 10:30:00 +0000,710424456.52555016420835303728526302
2025-06-30 10:30:00 +0000,1267008759.47860476825529933725399111
2025-07-01 10:30:00 +0000,1906691679.9709663738104688968775614
2025-07-02 10:30:00 +0000,1681911248.84256254965095371587120585
2025-07-03 10:30:00 +0000,2660043436.66086436624943451203917776
2025-07-04 10:30:00 +0000,1869594699.51405463317760730453449888
2025-07-05 10:30:00 +0000,1045592443.7321125649311962803592108
2025-07-06 10:30:00 +0000,603553963.96636688647227990971351574
2025-07-07 10:30:00 +0000,1179858461.22509484464150511026332164
2025-07-08 10:30:00 +0000,1673990245.40899537867470185098027993
2025-07-09 10:30:00 +0000,1535241491.86792151478518217146735292
2025-07-10 10:30:00 +0000,3116457872.29483610327757864454658247
2025-07-11 10:30:00 +0000,4927614873.8458493705487869418053111
2025-07-12 10:30:00 +0000,4065422668.51155749556816961884237456
2025-07-13 10:30:00 +0000,1763962468.42970417316785728723011296
2025-07-14 10:30:00 +0000,3880289658.06121794931000766057837517
2025-07-15 10:30:00 +0000,5056350176.61131337011041254485338171
2025-07-16 10:30:00 +0000,4818191898.88531634022209596834333658
2025-07-17 10:30:00 +0000,5507925608.18783692461756325754102945
2025-07-18 10:30:00 +0000,6874208415.54587768213348565807274585
2025-07-19 10:30:00 +0000,4202064970.12790748139199007237451962
2025-07-20 10:30:00 +0000,2198560377.5848298958757443959509188
2025-07-21 10:30:00 +0000,3518451462.18587350012665194069172819
2025-07-22 10:30:00 +0000,5038165054.7202753853883564594162025
2025-07-23 10:30:00 +0000,3809116671.53367084310286589660124277
2025-07-24 10:30:00 +0000,5061439886.71786659636068750890769859
2025-07-25 10:30:00 +0000,6069699767.7183154387667134459816944
2025-07-26 10:30:00 +0000,4425869391.13745788876847429324120235
2025-07-27 10:30:00 +0000,2268340059.45973369322618307579491744
2025-07-28 10:30:00 +0000,2875621600.3307938694366650588485856
2025-07-29 10:30:00 +0000,3481723532.33761778743376081724776448
2025-07-30 10:30:00 +0000,2588655365.87409130379200996025851034
2025-07-31 10:30:00 +0000,2834954783.13986935356850604744094087
2025-08-01 10:30:00 +0000,3108456788.29276138445836247929848382
2025-08-02 10:30:00 +0000,3216814080.28405041073009060308339044
2025-08-03 10:30:00 +0000,1936451805.5006904094619274474600704
2025-08-04 10:30:00 +0000,1510671906.3386704366076164016111097
2025-08-05 10:30:00 +0000,2371852934.60493340023005787913579201
2025-08-06 10:30:00 +0000,2305743042.4496412909111380808501912
2025-08-07 10:30:00 +0000,2178567593.35053004555820729125534068
2025-08-08 10:30:00 +0000,3520309574.368002628704638593276109
2025-08-09 10:30:00 +0000,3721218510.13152439892787982056847286
2025-08-10 10:30:00 +0000,2724916388.39768735921834774664681806
2025-08-11 10:30:00 +0000,2833350048.99791995820220299023986856
2025-08-12 10:30:00 +0000,3072084423.1206740437506695455397436
2025-08-13 10:30:00 +0000,5090514979.95488985998715503620899322
2025-08-14 10:30:00 +0000,5146504839.8948110238113841425380324
2025-08-15 10:30:00 +0000,5058384549.79756754512307584066384368
2025-08-16 10:30:00 +0000,3143639576.56300852755175246197056958
2025-08-17 10:30:00 +0000,1491680146.02370542119188429646441916
2025-08-18 10:30:00 +0000,2775896936.43574409156194122564713633
2025-08-19 10:30:00 +0000,3127469746.86267684313735900376454792
2025-08-20 10:30:00 +0000,3757474921.327894109730118573451687
2025-08-21 10:30:00 +0000,3206391027.57482840517882731368884245
2025-08-22 10:30:00 +0000,2486042805.29283406822333270393496004
2025-08-23 10:30:00 +0000,5807678075.29902723403535689719726886
2025-08-24 10:30:00 +0000,1876027016.73352758103157665396675026
2025-08-25 10:30:00 +0000,3997179203.93191538294312628356168592
2025-08-26 10:30:00 +0000,4110835114.84721907213967933360400304
2025-08-27 10:30:00 +0000,3478955524.3401509233885572135395604
2025-08-28 10:30:00 +0000,3826672727.2241446588799517817644288
2025-08-29 10:30:00 +0000,3529526408.29256419540619785633939527
2025-08-30 10:30:00 +0000,3635265806.4462830140888588371821832
2025-08-31 10:30:00 +0000,1457434846.84442757855012139007115918
2025-09-01 10:30:00 +0000,2115701076.60834456165042102415327652
2025-09-02 10:30:00 +0000,2545333827.48426387166547876578368624
2025-09-03 10:30:00 +0000,3029730226.34739978564393759713456896
2025-09-04 10:30:00 +0000,2558720274.62336022027338565677531872
2025-09-05 10:30:00 +0000,2500627298.391939486602108146725448
2025-09-06 10:30:00 +0000,2712756257.97923243700965291326827888
2025-09-07 10:30:00 +0000,1112763753.107988542502947717352078
2025-09-08 10:30:00 +0000,1783852778.19502215964590354792062652
2025-09-09 10:30:00 +0000,3327413391.04916727515460410904261504
2025-09-10 10:30:00 +0000,2662935934.07765265947932727948394524
2025-09-11 10:30:00 +0000,3059195356.04932763107391868044556028
2025-09-12 10:30:00 +0000,3213716924.36054737085161886441049474
2025-09-13 10:30:00 +0000,3758782628.41925631472060905436361058
2025-09-14 10:30:00 +0000,2449375909.36852416175969309772473552
2025-09-15 10:30:00 +0000,2737098811.5369062825842698667924448
2025-09-16 10:30:00 +0000,2787885474.07866677866692760605863322
2025-09-17 10:30:00 +0000,2924100159.1586750843232902906698927
2025-09-18 10:30:00 +0000,3967936385.73685877135389516554492462
2025-09-19 10:30:00 +0000,3070827896.34968151774267896763927456
2025-09-20 10:30:00 +0000,2170310536.18951048797527262193275137
2025-09-21 10:30:00 +0000,1732876538.26814073106940069976647025
2025-09-22 10:30:00 +0000,3363762861.7167173387204139817628724
2025-09-23 10:30:00 +0000,3331787743.49859552846602398468628784
2025-09-24 10:30:00 +0000,2658478215.4997344353745020874895715
